,user,text,favorite_count,retweet_count,created_at
0,ChennaiIPL,"Hue's the Hero! 🎨

#WhistlePodu #Yellove 🦁💛 https://t.co/Kd8yW4TkLI",5425,435,2023-01-20 08:06:43+00:00
1,ChennaiIPL,"Roaring whistles for the Ranji Step Up! 💪🏻🥳

#RanjiTrophy #WhistlePodu 🦁💛 https://t.co/izQIjWq4GY",1948,107,2023-01-19 16:08:00+00:00
2,ChennaiIPL,"Gill Paraak! One love for the blue band of double centurions! 🇮🇳🥳

#WhistlePodu #Yellove 🦁💛 https://t.co/rgR9dSLiD0",2948,161,2023-01-19 15:14:23+00:00
3,ChennaiIPL,"His words resonate with us just like how his roars reverberated at the Gabba! 🔥

Watch the Full 📹 ➡️ https://t.co/X77npRa5Ae

#TheRoarStartsHere 
@Natarajan_91 https://t.co/qTNNjqOLFA",1589,86,2023-01-19 14:52:50+00:00
4,ChennaiIPL,"Throwback to the lionspirit that gave us the Gabba Glory! 🦁🔥

#WhistlePodu #Yellove 🦁💛 https://t.co/AZQtSAXgg5",6679,271,2023-01-19 12:41:00+00:00
5,ChennaiIPL,"The last waltz of 2️⃣5️⃣6️⃣ of the icons that made our entire childhood! 🥳📸

#WhistlePodu #Yellove 🦁💛 @msdhoni @YUVSTRONG12 https://t.co/l9nus3MQYx",8948,752,2023-01-19 09:58:44+00:00
6,ChennaiIPL,"Ton another day! 💯

#INDvNZ #WhistlePodu 🦁💛 https://t.co/XvU9wFeyVN",4682,153,2023-01-19 06:25:41+00:00
7,ChennaiIPL,"Huddle 🆙! The Roars for the Day 2️⃣ have begun! 🦁

Watch the Junior Super Kings Final Phase LIVE! 📹

🔗➡️ https://t.co/WoeQN8R8Jo 

#TheRoarStartsHere https://t.co/gobMxYJZoL",1589,68,2023-01-19 04:29:38+00:00
8,ChennaiIPL,"No guts. No glory. No Gabba! 💪🏻 
#AndhaNaalGnyabagam of this day in history! 🔥

#WhistlePodu 🦁💛 https://t.co/fVrbW74nON",4629,285,2023-01-19 04:12:07+00:00
9,ChennaiIPL,"Carpe Dieming a thriller day! 🥳

#INDvNZ #WhistlePodu 🦁💛 https://t.co/0Rc2zJ1I6G",2628,114,2023-01-18 17:13:58+00:00
10,ChennaiIPL,"Braced for a roller coaster ride...
but it's Dhool had other ideas! 🥳

#INDvNZ #WhistlePodu 🦁💛",3144,128,2023-01-18 16:29:55+00:00
11,ChennaiIPL,"Making #Whistle4Blue a daily routine with 🇮🇳 winning over 🏴󠁧󠁢󠁳󠁣󠁴󠁿 by 8️⃣3️⃣ runs!

#INDWvSCOW #U19T20WorldCup https://t.co/A8waFSs1dN",1289,71,2023-01-18 16:12:22+00:00
12,ChennaiIPL,"Grooving and whistling to the @JSKSA20 anthem rn! 🥳

#WhistleForJoburg https://t.co/5Q2urmKTfl https://t.co/AzlUJbUkI9",1909,124,2023-01-18 15:36:55+00:00
13,ChennaiIPL,🦁📸 https://t.co/dEIN76Fhyi,621,28,2023-01-18 14:12:55+00:00
14,ChennaiIPL,"It's all in the game! 🤩💪🏻

Intense action to wrap up the day 1 of Junior Super Kings Final Phase 🦁

#TheRoarStartsHere https://t.co/DucjLhJa0c",1259,66,2023-01-18 14:12:54+00:00
15,ChennaiIPL,"Amping up the excitement, here's everything that happened in day one of the Final Phase of the Junior Super Kings 2022-23! 🦁

#TheRoarStartsHere",748,55,2023-01-18 12:54:46+00:00
16,ChennaiIPL,"Gilled it out there!! 🔥
🇮🇳 3️⃣4️⃣9️⃣/8 

#INDvNZ #WhistlePodu 🦁💛
📸: @BCCI https://t.co/b1rxmqUEsd",5678,277,2023-01-18 11:57:02+00:00
17,ChennaiIPL,"💯📸📁 𝑪𝒕𝒓𝒍 + 𝑪 ➡️ 𝑪𝒕𝒓𝒍 + 𝑽 💪  Gill!

#INDvNZ #WhistlePodu 🦁💛
🖼️ : @BCCI https://t.co/iCsuOawBD0",1997,110,2023-01-18 10:35:35+00:00
18,ChennaiIPL,"Back 2 Back! 💯
The Gill Consistency 🙌

#INDvNZ #WhistlePodu 🦁💛",3877,149,2023-01-18 10:13:17+00:00
19,ChennaiIPL,"Santa takes a clean one! But it’s king Kohli.

#INDvNZ #WhistlePodu 🦁💛 https://t.co/BCUkEzWRyV",6238,269,2023-01-18 09:21:59+00:00
20,ChennaiIPL,"Set to strike! 🇮🇳🥳

#INDvNZ #WhistlePodu 🦁💛 https://t.co/eu7kicnNVt",3361,110,2023-01-18 03:03:17+00:00
21,ChennaiIPL,"Wakey Wakey! It’s match day! 🥳

#INDvNZ #WhistlePodu 🦁💛
📹: @BLACKCAPS https://t.co/BuVsIFQOTw",2481,128,2023-01-18 02:36:29+00:00
22,ChennaiIPL,"It was all 💊 mode on this side of the world! Good game, @JSKSA20 🥳

#WhistlePodu #Yellove 🦁💛 https://t.co/rswvEX6jta",2002,118,2023-01-17 19:31:40+00:00
23,ChennaiIPL,"“Hey wait a minute! I’ve seen this one, this is a classic!” 🤩
@JSKSA20
#SuperConnexions #WhistlePodu 🦁💛 https://t.co/k90Hgz96JG",9505,607,2023-01-17 18:03:42+00:00
24,ChennaiIPL,"@JSKSA20 @maheesht61 @Sibzmakhanya #Yellove suits you, everywhere you go, Theekshana! 🦁💛

#WhistlePodu",473,36,2023-01-17 17:56:22+00:00
25,ChennaiIPL,"Peak-a boo! We see you catching some 💛 , birthday boy! 📹

#WhistlePodu #Yellove 🦁💛 https://t.co/URCNDWGlxt",1908,86,2023-01-17 13:10:14+00:00
26,ChennaiIPL,"Squaring 𝓬𝓸𝓸𝓵 quotient in the pride! 🧊

#WhistlePodu #Yellove 🦁💛
@msdhoni @ajinkyarahane88",3559,225,2023-01-17 10:56:39+00:00
27,ChennaiIPL,"Super Birthday to the Speedy Singh, Simar! 🎂
Here’s wishing you more timber! 🦁

#WhistlePodu #Yellove 🦁💛 https://t.co/4RaeLemqXP",3728,144,2023-01-17 08:08:08+00:00
28,ChennaiIPL,"A Jumbo Milestone carved in the Indian Cricketing history! 🤩🇮🇳

6️⃣0️⃣0️⃣ Test Wickets 🔥

#AndhaNaalGnyabagam #WhistlePodu 🦁💛 https://t.co/TpPBhlsHfo",2742,110,2023-01-17 04:27:53+00:00
29,ChennaiIPL,"Memories of the Lion Wonder! 🦁

#WhistlePodu #Yellove 🦁💛
@Ruutu1331 https://t.co/5mJc3JWZeR",2113,136,2023-01-16 14:44:04+00:00
30,ChennaiIPL,"This gesture has our 💛! 📸
#Whistle4Blue https://t.co/0kHWfHWB0x",968,53,2023-01-16 12:43:15+00:00
31,ChennaiIPL,"Another game, another super stand! 💥💪🏻

#INDWvUAEW #U19T20WorldCup #Whistle4Blue https://t.co/tLG09WYM8i",2402,103,2023-01-16 12:16:47+00:00
32,ChennaiIPL,"All in all Ajay Mandal! The Singam showreel! 🦁📹

#WhistlePodu #Yellove 🦁💛 https://t.co/noc1t1l39q",1362,86,2023-01-16 07:55:44+00:00
33,ChennaiIPL,"🦁🔜

#WhistlePodu #Yellove 🦁💛 @imjadeja https://t.co/ocKHHvgYTP",10158,397,2023-01-16 05:29:09+00:00
34,ChennaiIPL,"Teeming up with the spirit of winning! 🤩

#INDvSL #WhistlePodu 🦁💛
📸 : @BCCI https://t.co/5t2JQlcukI",2816,118,2023-01-16 04:21:24+00:00
35,ChennaiIPL,"At the peak, scaling heights! 👑💯

#INDvSL #WhistlePodu 🦁💛 https://t.co/rF2GKIF2uZ",5783,431,2023-01-15 15:07:17+00:00
36,ChennaiIPL,"Winning and how! 🤩
Highest win margin in men’s ODIs! ✅

#INDvSL #WhistlePodu 🦁💛
📸: @BCCI https://t.co/tgywWLafep",2059,124,2023-01-15 14:23:42+00:00
37,ChennaiIPL,"Spell Bound by Siraj! 🤩💥

#INDvSL #WhistlePodu 🦁💛",2361,105,2023-01-15 13:08:35+00:00
38,ChennaiIPL,"Tale of tons take us to 3️⃣9️⃣0️⃣! 

#INDvSL #WhistlePodu 🦁💛
📸: @BCCI https://t.co/TJVVSYkBPL",3701,159,2023-01-15 12:02:00+00:00
39,ChennaiIPL,"Keep at it, King! 👑

#INDvSL #WhistlePodu 🦁💛 https://t.co/wOuuP5wM9e",9126,556,2023-01-15 11:44:48+00:00
40,ChennaiIPL,"Sweet Pongal it is! 💯

#INDvSL #WhistlePodu 🦁💛 https://t.co/gAQBhEBtGJ",3295,194,2023-01-15 11:16:59+00:00
41,ChennaiIPL,"The Shubh Aarambh to a 💯! 

#INDvSL #WhistlePodu
📸: @BCCI https://t.co/W4TCqnZYlC",3991,127,2023-01-15 10:20:23+00:00
42,ChennaiIPL,"Venn Pongal and Matinee Action Combo! 💥

Leo is sorted, Annachi! 🥳🇮🇳

#INDvSL #WhistlePodu 🦁💛 https://t.co/wHGvx8eXgR",1348,70,2023-01-15 07:10:40+00:00
43,ChennaiIPL,Also wishing you all a Yellovely Makar Sankranti and Bihu! 💛🥳,859,39,2023-01-15 05:50:31+00:00
44,ChennaiIPL,@VJothiLakshmi1 Yellove in the heart of it! 💛,12,0,2023-01-15 05:46:35+00:00
